Number,Day,Minute,Path,Mother,Mother Genotype,Name,Sex,Offspring Genotype,Genogroup,Recording Number,Start Point (s),End Point (s),Start Point (time),End Point (time),Start Point (Hz),End Point (Hz),Duration (time),Duration (s),ISI_time,ISI,Syllable,Syllable number,Cat. Number,Classification date,Start Time,Time Course,# of Bursts,IBN,BurstDuration_t,BurstDuration,BurstInterval_t,BurstInterval,Unnamed: 33,Unnamed: 34
1,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_3,26598N-1741O,WT,17470O,F,WT,1.0,,,,,,,,,,,,,,,,12:21:42,,,,,,,,,
2,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,0.088414,0.14736,00:00:00.088000,00:00:00.147000,57648.8278,45525.082,01:24:52.934000,00:00:00.059000,,,Complex,3.0,1.0,2020-10-06,12:21:42,12:21:42.147000,1.0,1.0,1900-01-01 04:25:48.230000,00:00:01.185000,00:00:00,00:00:00,,
3,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,0.27279,0.33539,00:00:00.273000,00:00:00.335000,55558.5268,45525.082,01:30:08.640000,00:00:00.063000,03:00:37.152000,00:00:00.125000,Chevron,2.0,1.0,2020-10-06,,12:21:42.335000,1.0,2.0,,,,,1.0,Short
4,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,0.457,0.51987,00:00:00.457000,00:00:00.520000,54513.3763,43852.8412,01:30:31.968000,00:00:00.063000,02:55:07.104000,00:00:00.122000,Chevron,2.0,1.0,2020-10-06,,12:21:42.520000,1.0,3.0,,,,,2.0,Chevron
5,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,0.63737,0.69691,00:00:00.637000,00:00:00.697000,55976.587,43434.781,01:25:44.256000,00:00:00.060000,02:49:12,00:00:00.117000,Chevron,2.0,1.0,2020-10-06,,12:21:42.697000,1.0,4.0,,,,,3.0,Complex
6,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,0.83246,0.9081,00:00:00.832000,00:00:00.908000,59739.1288,53050.1656,01:48:55.296000,00:00:00.076000,03:15:11.520000,00:00:00.136000,Flat,4.0,1.0,2020-10-06,,12:21:42.908000,1.0,5.0,,,,,4.0,Flat
7,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,1.0379,1.0956,00:00:01.038000,00:00:01.096000,52423.0753,47824.4131,01:23:05.280000,00:00:00.058000,03:06:54.720000,00:00:00.130000,Composite,9.0,3.0,2020-10-06,,12:21:43.096000,1.0,6.0,,,,,5.0,"Down
ward"
8,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,1.2375,1.273,00:00:01.238000,00:00:01.273000,50332.7743,49705.684,00:51:07.200000,00:00:00.035000,03:24:20.160000,00:00:00.142000,Composite,9.0,3.0,2020-10-06,,12:21:43.273000,1.0,7.0,,,,,6.0,Upward
9,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,0.11691,0.17594,00:00:00.117000,00:00:00.176000,55140.4666,50959.8646,01:25:00.192000,00:00:00.059000,,,Composite,9.0,3.0,2020-10-06,12:21:44,12:21:44.176000,2.0,1.0,1900-01-01 14:52:21.216000,00:00:01.620000,17:26:52.800000,00:00:00.727000,7.0,Two-Syllable
10,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,0.32287,0.37934,00:00:00.323000,00:00:00.379000,60157.189,49914.7141,01:21:19.008000,00:00:00.056000,03:31:34.752000,00:00:00.147000,Downward,5.0,1.0,2020-10-06,,12:21:44.379000,2.0,2.0,,,,,8.0,Frequency Steps
11,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,0.50782,0.57017,00:00:00.508000,00:00:00.570000,60157.189,45525.082,01:29:47.040000,00:00:00.062000,03:05:00.672000,00:00:00.128000,Complex,3.0,1.0,2020-10-06,,12:21:44.570000,2.0,3.0,,,,,9.0,Composite
12,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,0.69659,0.76431,00:00:00.697000,00:00:00.764000,60366.2191,44061.8713,01:37:31.008000,00:00:00.068000,03:02:02.688000,00:00:00.126000,Chevron,2.0,1.0,2020-10-06,,12:21:44.764000,2.0,4.0,,,,,10.0,Harmonics
13,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,0.90275,0.97123,00:00:00.903000,00:00:00.971000,61202.3395,44897.9917,01:38:36.672000,00:00:00.068000,03:19:21.216000,00:00:00.138000,Two-Syllable,7.0,2.0,2020-10-06,,12:21:44.971000,2.0,5.0,,,,,,
14,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,1.103,1.17,00:00:01.103000,00:00:01.170000,57439.7977,46988.2927,01:36:28.800000,00:00:00.067000,03:09:44.928000,00:00:00.132000,Two-Syllable,7.0,2.0,2020-10-06,,12:21:45.170000,2.0,6.0,,,,,,
15,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,1.3088,1.3762,00:00:01.309000,00:00:01.376000,53468.2258,54513.3763,01:37:03.360000,00:00:00.067000,03:19:52.320000,00:00:00.139000,Composite,9.0,3.0,2020-10-06,,12:21:45.376000,2.0,7.0,,,,,,
16,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,1.4887,1.551,00:00:01.489000,00:00:01.551000,51586.9549,54513.3763,01:29:42.720000,00:00:00.062000,02:42:00,00:00:00.112000,Composite,9.0,3.0,2020-10-06,,12:21:45.551000,2.0,8.0,,,,,,
17,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,1.675,1.7366,00:00:01.675000,00:00:01.737000,54095.3161,52632.1054,01:28:42.240000,00:00:00.062000,02:58:33.600000,00:00:00.124000,Composite,9.0,3.0,2020-10-06,,12:21:45.737000,2.0,9.0,,,,,,
18,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000003,0.30677,0.35635,00:00:00.307000,00:00:00.356000,55349.4967,54095.3161,01:11:23.712000,00:00:00.050000,,,Chevron,2.0,1.0,2020-10-06,12:21:48,12:21:48.356000,3.0,1.0,15:06:15.840000,00:00:00.629000,1900-01-02 06:19:17.760000,00:00:02.263000,,
19,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000003,0.49781,0.56067,00:00:00.498000,00:00:00.561000,55140.4666,44061.8713,01:30:31.104000,00:00:00.063000,03:23:42.144000,00:00:00.141000,Chevron,2.0,1.0,2020-10-06,,12:21:48.561000,3.0,2.0,,,,,,
20,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000003,0.68299,0.73793,00:00:00.683000,00:00:00.738000,52632.1054,48451.5034,01:19:06.816000,00:00:00.055000,02:56:08.448000,00:00:00.122000,Composite,9.0,3.0,2020-10-06,,12:21:48.738000,3.0,3.0,,,,,,
21,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000003,0.87734,0.93612,00:00:00.877000,00:00:00.936000,55140.4666,49705.684,01:24:38.592000,00:00:00.059000,03:20:45.024000,00:00:00.139000,Composite,9.0,3.0,2020-10-06,,12:21:48.936000,3.0,4.0,,,,,,
22,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,0.12457,0.18309,00:00:00.125000,00:00:00.183000,55558.5268,49078.5937,01:24:16.128000,00:00:00.059000,,,Composite,9.0,3.0,2020-10-08,12:21:49,12:21:49.183000,3.0,5.0,1900-01-02 20:10:56.352000,00:00:02.841000,01:31:59.232000,00:00:00.064000,,
23,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,0.3083,0.36989,00:00:00.308000,00:00:00.370000,52423.0753,43225.7509,01:28:41.376000,00:00:00.062000,03:00:18.144000,00:00:00.125000,Composite,9.0,3.0,2020-10-08,,12:21:49.370000,3.0,6.0,,,,,,
24,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,0.49839,0.57326,00:00:00.498000,00:00:00.573000,53468.2258,48451.5034,01:47:48.768000,00:00:00.075000,03:05:02.400000,00:00:00.128000,Composite,9.0,3.0,2020-10-08,,12:21:49.573000,3.0,7.0,,,,,,
25,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,0.68953,0.75188,00:00:00.690000,00:00:00.752000,54722.4064,48869.5636,01:29:47.040000,00:00:00.062000,02:47:25.728000,00:00:00.116000,Composite,9.0,3.0,2020-10-08,,12:21:49.752000,3.0,8.0,,,,,,
26,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,0.88366,0.94653,00:00:00.884000,00:00:00.947000,49914.7141,41971.5703,01:30:31.968000,00:00:00.063000,03:09:45.792000,00:00:00.132000,Composite,9.0,3.0,2020-10-08,,12:21:49.947000,3.0,9.0,,,,,,
27,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,1.0799,1.1543,00:00:01.080000,00:00:01.154000,48451.5034,46152.1723,01:47:08.160000,00:00:00.074000,03:12:03.168000,00:00:00.133000,Composite,9.0,3.0,2020-10-08,,12:21:50.154000,3.0,10.0,,,,,,
28,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,1.2436,1.3049,00:00:01.244000,00:00:01.305000,48869.5636,44897.9917,01:28:16.320000,00:00:00.061000,02:08:35.520000,00:00:00.089000,Complex,3.0,1.0,2020-10-08,,12:21:50.305000,3.0,11.0,,,,,,
29,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,1.4291,1.4983,00:00:01.429000,00:00:01.498000,49496.6539,43434.781,01:39:38.880000,00:00:00.069000,02:58:50.880000,00:00:00.124000,Chevron,2.0,1.0,2020-10-08,,12:21:50.498000,3.0,12.0,,,,,,
30,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,1.6193,1.687,00:00:01.619000,00:00:01.687000,52632.1054,44688.9616,01:37:29.280000,00:00:00.068000,02:54:14.400000,00:00:00.121000,Complex,3.0,1.0,2020-10-08,,12:21:50.687000,3.0,13.0,,,,,,
31,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,1.8097,1.8838,00:00:01.810000,00:00:01.884000,51586.9549,42807.6907,01:46:42.240000,00:00:00.074000,02:56:41.280000,00:00:00.123000,Composite,9.0,3.0,2020-10-08,,12:21:50.884000,3.0,14.0,,,,,,
32,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,1.9727,2.0532,00:00:01.973000,00:00:02.053000,45943.1422,56603.6773,01:55:55.200000,00:00:00.081000,02:08:00.960000,00:00:00.089000,Two-Syllable,7.0,2.0,2020-10-08,,12:21:51.053000,3.0,15.0,,,,,,
33,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,2.1588,2.2237,00:00:02.159000,00:00:02.224000,55140.4666,57439.7977,01:33:27.360000,00:00:00.065000,02:32:03.840000,00:00:00.106000,Complex,3.0,1.0,2020-10-08,,12:21:51.224000,3.0,16.0,,,,,,
34,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,2.3285,2.3939,00:00:02.328000,00:00:02.394000,56812.7074,57230.7676,01:34:10.560000,00:00:00.065000,02:30:54.720000,00:00:00.105000,Chevron,2.0,1.0,2020-10-08,,12:21:51.394000,3.0,17.0,,,,,,
35,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,2.5084,2.5779,00:00:02.508000,00:00:02.578000,54095.3161,53468.2258,01:40:04.800000,00:00:00.070000,02:44:52.800000,00:00:00.115000,Composite,9.0,3.0,2020-10-08,,12:21:51.578000,3.0,18.0,,,,,,
36,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,2.6918,2.7567,00:00:02.692000,00:00:02.757000,49496.6539,57439.7977,01:33:27.360000,00:00:00.065000,02:44:00.960000,00:00:00.114000,Complex,3.0,1.0,2020-10-08,,12:21:51.757000,3.0,19.0,,,,,,
37,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000004,2.8865,2.9655,00:00:02.886000,00:00:02.966000,50332.7743,53468.2258,01:53:45.600000,00:00:00.079000,03:06:54.720000,00:00:00.130000,Composite,9.0,3.0,2020-10-08,,12:21:51.966000,3.0,20.0,,,,,,
38,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000005,0.11596,0.20297,00:00:00.116000,00:00:00.203000,50383.3847,40712.8976,02:05:17.664000,00:00:00.087000,,,Composite,9.0,3.0,2020-10-08,12:21:53,12:21:53.203000,4.0,1.0,20:07:18.624000,00:00:00.838000,1900-01-01 00:49:40.800000,00:00:01.034000,,
39,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000005,0.3213,0.38829,00:00:00.321000,00:00:00.388000,53606.8804,46443.5566,01:36:27.936000,00:00:00.067000,02:50:23.712000,00:00:00.118000,Composite,9.0,3.0,2020-10-08,,12:21:53.388000,4.0,2.0,,,,,,
40,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000005,0.49982,0.58501,00:00:00.500000,00:00:00.585000,60053.8718,106973.6426,02:02:40.416000,00:00:00.085000,02:40:36.192000,00:00:00.112000,Two-Syllable,7.0,2.0,2020-10-08,,12:21:53.585000,4.0,3.0,,,,,,
41,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000005,0.71125,0.7754,00:00:00.711000,00:00:00.775000,52174.2157,55397.7114,01:32:22.560000,00:00:00.064000,03:01:47.136000,00:00:00.126000,Two-Syllable,7.0,2.0,2020-10-08,,12:21:53.775000,4.0,4.0,,,,,,
42,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000005,0.89248,0.95437,00:00:00.892000,00:00:00.954000,53606.8804,54323.2128,01:29:07.296000,00:00:00.062000,02:48:35.712000,00:00:00.117000,Composite,9.0,3.0,2020-10-08,,12:21:53.954000,4.0,5.0,,,,,,
43,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,0.50598,0.56095,00:00:00.506000,00:00:00.561000,62202.869,49667.0523,01:19:09.408000,00:00:00.055000,,,Frequency Steps,8.0,2.0,2020-10-08,12:21:56,12:21:56.561000,5.0,1.0,1900-01-01 22:45:08.928000,00:00:01.948000,1900-01-02 01:05:42.432000,00:00:02.046000,,
44,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,0.67491,0.76192,00:00:00.675000,00:00:00.762000,62202.869,76887.6827,02:05:17.664000,00:00:00.087000,02:44:06.144000,00:00:00.114000,Frequency Steps,8.0,2.0,2020-10-08,,12:21:56.762000,5.0,2.0,,,,,,
45,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,0.85378,0.91458,00:00:00.854000,00:00:00.915000,51816.0495,45727.2243,01:27:33.120000,00:00:00.061000,02:12:16.704000,00:00:00.092000,Complex,3.0,1.0,2020-10-08,,12:21:56.915000,5.0,3.0,,,,,,
46,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,1.0439,1.1058,00:00:01.044000,00:00:01.106000,51816.0495,48234.3876,01:29:08.160000,00:00:00.062000,03:06:13.248000,00:00:00.129000,Complex,3.0,1.0,2020-10-08,,12:21:57.106000,5.0,4.0,,,,,,
47,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,1.2484,1.3133,00:00:01.248000,00:00:01.313000,53965.0466,41071.0638,01:33:27.360000,00:00:00.065000,03:25:20.640000,00:00:00.143000,Composite,9.0,3.0,2020-10-08,,12:21:57.313000,5.0,5.0,,,,,,
48,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,1.4345,1.4967,00:00:01.434000,00:00:01.497000,52890.5481,53248.7142,01:29:34.080000,00:00:00.062000,02:54:31.680000,00:00:00.121000,Composite,9.0,3.0,2020-10-08,,12:21:57.497000,5.0,6.0,,,,,,
49,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,1.616,1.679,00:00:01.616000,00:00:01.679000,53965.0466,48234.3876,01:30:43.200000,00:00:00.063000,02:51:47.520000,00:00:00.119000,Composite,9.0,3.0,2020-10-08,,12:21:57.679000,5.0,7.0,,,,,,
50,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,1.7983,1.8562,00:00:01.798000,00:00:01.856000,56472.2099,47518.0552,01:23:22.560000,00:00:00.058000,02:51:47.520000,00:00:00.119000,Chevron,2.0,1.0,2020-10-08,,12:21:57.856000,5.0,8.0,,,,,,
51,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,1.9911,2.0516,00:00:01.991000,00:00:02.052000,54681.379,45727.2243,01:27:07.200000,00:00:00.060000,03:14:15.360000,00:00:00.135000,Complex,3.0,1.0,2020-10-08,,12:21:58.052000,5.0,9.0,,,,,,
52,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,2.1971,2.2499,00:00:02.197000,00:00:02.250000,47876.2214,47518.0552,01:16:01.920000,00:00:00.053000,03:29:31.200000,00:00:00.145000,Composite,9.0,3.0,2020-10-08,,12:21:58.250000,5.0,10.0,,,,,,
53,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000006,2.4002,2.454,00:00:02.400000,00:00:02.454000,53606.8804,52174.2157,01:17:28.320000,00:00:00.054000,03:36:25.920000,00:00:00.150000,Composite,9.0,3.0,2020-10-08,,12:21:58.454000,5.0,11.0,,,,,,
54,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000007,0.10176,0.16256,00:00:00.102000,00:00:00.163000,49667.0523,50741.5509,01:27:33.120000,00:00:00.061000,,,Two-Syllable,7.0,2.0,2020-10-08,12:21:58,12:21:58.163000,5.0,12.0,20:15:45.792000,00:00:00.844000,00:00:00,00:00:00,,
55,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000007,0.30965,0.37336,00:00:00.310000,00:00:00.373000,59337.5395,45727.2243,01:31:44.544000,00:00:00.064000,03:31:48.576000,00:00:00.147000,Two-Syllable,7.0,2.0,2020-10-08,,12:21:58.373000,5.0,13.0,,,,,,
56,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000007,0.49799,0.56134,00:00:00.498000,00:00:00.561000,61486.5366,57188.5423,01:31:13.440000,00:00:00.063000,02:59:28.032000,00:00:00.125000,Two-Syllable,7.0,2.0,2020-10-08,,12:21:58.561000,5.0,14.0,,,,,,
57,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000007,0.70682,0.73558,00:00:00.707000,00:00:00.736000,46801.7228,89781.6655,00:41:24.864000,00:00:00.029000,03:29:29.472000,00:00:00.145000,Composite,9.0,3.0,2020-10-08,,12:21:58.736000,5.0,15.0,,,,,,
58,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000007,0.88196,0.94604,00:00:00.882000,00:00:00.946000,60412.038,55397.7114,01:32:16.512000,00:00:00.064000,03:30:47.232000,00:00:00.146000,Composite,9.0,3.0,2020-10-08,,12:21:58.946000,5.0,16.0,,,,,,
59,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000008,0.12834,0.19533,00:00:00.128000,00:00:00.195000,60412.038,56114.0438,01:36:27.936000,00:00:00.067000,,,Composite,9.0,3.0,2020-10-08,12:21:59,12:21:59.195000,5.0,17.0,15:50:35.232000,00:00:00.660000,01:17:42.144000,00:00:00.054000,,
60,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000008,0.31183,0.37008,00:00:00.312000,00:00:00.370000,51816.0495,45727.2243,01:23:52.800000,00:00:00.058000,02:47:45.600000,00:00:00.116000,Composite,9.0,3.0,2020-10-08,,12:21:59.370000,5.0,18.0,,,,,,
61,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000008,0.50024,0.56796,00:00:00.500000,00:00:00.568000,50383.3847,44294.5595,01:37:31.008000,00:00:00.068000,03:07:25.824000,00:00:00.130000,Composite,9.0,3.0,2020-10-08,,12:21:59.568000,5.0,19.0,,,,,,
62,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000008,0.70182,0.78847,00:00:00.702000,00:00:00.788000,48234.3876,55397.7114,02:04:46.560000,00:00:00.087000,03:12:45.504000,00:00:00.134000,Composite,9.0,3.0,2020-10-08,,12:21:59.788000,5.0,20.0,,,,,,
63,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000009,0.49439,0.5581,00:00:00.494000,00:00:00.558000,58621.2071,47159.889,01:31:44.544000,00:00:00.064000,,,Chevron,2.0,1.0,2020-10-08,12:22:16,12:22:16.558000,6.0,1.0,1900-01-01 22:14:45.024000,00:00:01.927000,1900-01-16 05:04:36.192000,00:00:16.212000,,
